Name,Twitter Handle,CEO(s),Twitter Handle For CEO,Notes (if any)
Even,,Jon Schlossberg,@jschloss,They do have a fb page. Will come back to this later.
Gusto,@GustoHQ,Shawn Schwegman,@sschwegman,
Eatwith,@EatWith,guy michlin,@GuyMichlin,
Headspace,@Get_Headspace,Andy Puddicombe,@andypuddicombe,
Stream,@getstream_io,THIERRY SCHELLENBACH,@tschellenbach,
RecargaPay,@recargapay,Rodrigo Teijeiro,@RodrigoTeijeiro,Based in Brasil. The Twitter account posts in Portuguese.
Verbling,@verbling,Mikael Bernstein,@mikaelbernstein,
Guesthop,@Guesthop,Emily Benkert,,
Pillow,@pillowhomes,SeanConways,@SeanConways,
Docker,@docker,Ben Golub,@golubbe,
Luxe,@luxevalet,Curtis Lee,@curtislee,